move 1,move 2,move 3,move 4,move 5,move 6,move 7,move 8,move 9,move 10,move 11,move 12
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bf5,Bc4 e6,O-O Be7,Bf4 O-O,Nh4 c6,Nxf5 exf5,Be5 b5,Bb3 Qd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Be7,O-O-O O-O,d5 exd5,Nxd5 Nxd5,Rxd5 Qe8,Bd3 Be6,Bxh7+ Kxh7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 c6,Bd3 Bg4,O-O Bxf3,Qxf3 e6,Ne4 Be7,Bg5 Nbd7,Bxf6 Bxf6,Nd6+ Ke7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bc4 Bxf3,Qxf3 Qxd4,Qxb7 Ng4,Qc8+ Qd8,Bb5+ c6,Bxc6+ Nxc6,Qxc6+ Qd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,d5 Nd4,Qd3 Nf5,Bf4 e6,Nb5 Qxd5,Nxc7+ Ke7,Nxd5+ exd5,O-O-O Ne4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 g6,Bc4 Bg7,O-O O-O,Qe1 e6,Bg5 h6,Bh4 Qd6,Bxf6 Bxf6,Ne4 Qe7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 a6,Be3 Nc6,d5 Ne5,Qf2 Nxd5,O-O-O c6,Bc4 Qc7,Nxd5 cxd5,Bxd5 Nc6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 e6,Be3 Bb4,Ne2 Nc6,a3 Bd6,O-O-O O-O,d5 Ne7,Bg5 Nfxd5,Nxd5 exd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bd3 Bg4,O-O Nxd4,Be2 Bxf3,Bxf3 Nxf3+,Qxf3 c6,Be3 Nd5,Qxf7+ Kd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Bb4,O-O Bxc3,bxc3 O-O,Ba3 Re8,Ng5 h6,Nxf7 Kxf7,Qh5+ Kg8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qxb7 Nbd7,Nb5 Rc8,Nxa7 c5,Nxc8 cxd4,Bd2 e5,Nf3 Bxf3,gxf3 Be7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Be7,O-O O-O,Qe1 b6,Qh4 h6,Bxh6 gxh6,Qxh6 Qd6,Kh1 Nc6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Bd6,O-O b6,Qe1 Bb7,Be3 O-O,Qh4 g6,Bg5 Be7,Ne5 Nfd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Be7,O-O O-O,Qe1 Nc6,Qh4 g6,Bg5 Nh5,g4 Ng7,Be4 Nxd4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Bg4,Qf4 g5,Qg3 Nxd4,Bd3 e6,Bxg5 Bd6,Qh4 Nf5,Bxf5 exf5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Bg4,Qg3 e6,h3 Bd6,Bf4 Bxf4,Qxf4 Bf5,O-O-O O-O,Nf3 Nd5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Be3 Bg4,Qg3 h5,h4 Nxd4,Bd3 e5,Qxe5+ Ne6,Nf3 Bd6,Qb5+ Nd7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,Bc4 e6,O-O Bd6,Bd3 c6,Ne4 Nxe4,Bxe4 O-O,Bxh7+ Kh8,Bd3 f5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,d5 Ne5,Qf4 Qd6,Nb5 Qb6,Qxe5 Ng4,Qf4 e5,dxe6 f5,Nxc7+ Kd8
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 Nc6,Bb5 Qd7,d5 Nxd5,Nxd5 Qe6+,Be3 O-O,O-O-O Ne5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bb5 Qxd4,Be3 Qb4,O-O-O Bg4,Bxc6+ bxc6,Qxc6+ Nd7,Qxa8+ Nb8,Rd4 e6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Bc4 Ng4,Bf4 e6,O-O e5,Re1 Be7,Bg3 exd4,Ne4 Ne3,Qd3 f5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Bg4,Qf2 Nbd7,Bg5 h6,Bh4 e6,h3 Bf5,O-O-O Bb4,Nb5 Ba5,Be2 a6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bc4 Nxd4,Qd3 Nc6,Nf3 Qxd3,Bxd3 Bg4,Kf1 Bxf3,gxf3 O-O,Kf2 e6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bh5,g4 Bg6,Bg2 c6,Ne5 e6,h4 h6,Nxg6 fxg6,Qd3 Kf7
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Be7,O-O O-O,Ne4 Nxe4,Bxe4 c6,b4 b6,a4 Ba6,b5 cxb5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 e6,Bd3 Bb4,O-O O-O,Ne4 Nxe4,Bxe4 Nd7,Bxh7+ Kxh7,Ng5+ Kg8,Qh5 Nf6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 c6,Be3 e6,Bd3 Bb4,O-O O-O,Ne4 Nxe4,Qxe4 g6
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Bg4,h3 Bxf3,Qxf3 Nc6,Bb5 Qd6,Bf4 Qe6+,Kf2 a6,Rhe1 Qd7,Ba4 b5
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Nxf3 Nc6,Be3 Bg4,Bb5 a6,Bxc6+ bxc6,h3 Bxf3,Qxf3 Nd5,Bd2 e6,O-O Bb4
d4 d5,e4 dxe4,Nc3 Nf6,f3 exf3,Qxf3 Nc6,Bb5 Qxd4,Bxc6+ Bd7,Bxb7 Rd8,Nge2 Qe5,Bf4 Qf5,O-O-O e5,Ng3 Qg6
